structure.c.,Dates_x
48.50402979,2018/8/20 9:40
48.50378303,2018/8/20 9:41
48.50345466,2018/8/20 9:42
48.5070022,2018/8/20 9:43
48.50370541,2018/8/20 9:45
48.50370475,2018/8/20 9:47
48.50473092,2018/8/20 9:48
48.50554232,2018/8/20 9:49
48.50394254,2018/8/20 9:50
48.50487847,2018/8/20 9:51
48.50442266,2018/8/20 9:52
48.50413582,2018/8/20 9:53
48.50484193,2018/8/20 9:54
48.50499652,2018/8/20 9:55
48.50376033,2018/8/20 9:56
48.50362569,2018/8/20 9:57
48.50324232,2018/8/20 9:58
48.50260386,2018/8/20 9:59
48.50248094,2018/8/20 10:00
48.50123119,2018/8/20 10:01
48.50182932,2018/8/20 10:03
48.50287527,2018/8/20 10:04
48.50312999,2018/8/20 10:05
48.50243861,2018/8/20 10:06
48.50248725,2018/8/20 10:07
48.50198232,2018/8/20 10:08
48.5019912,2018/8/20 10:09
48.50145295,2018/8/20 10:10
48.50074894,2018/8/20 10:11
48.50019764,2018/8/20 10:12
48.50096905,2018/8/20 10:13
48.50100248,2018/8/20 10:15
48.5006204,2018/8/20 10:16
48.50042048,2018/8/20 10:18
48.50045017,2018/8/20 10:19
48.50015811,2018/8/20 10:20
48.4999073,2018/8/20 10:21
48.50036987,2018/8/20 10:22
48.49859371,2018/8/20 10:23
48.49858967,2018/8/20 10:24
48.49887233,2018/8/20 10:25
48.50063332,2018/8/20 10:26
48.49909968,2018/8/20 10:27
48.49919623,2018/8/20 10:28
48.49797165,2018/8/20 10:29
48.49814151,2018/8/20 10:30
48.49558278,2018/8/20 10:31
48.49337823,2018/8/20 10:32
48.49259654,2018/8/20 10:33
48.49202881,2018/8/20 10:34
48.49192015,2018/8/20 10:35
48.49077606,2018/8/20 10:36
48.48959857,2018/8/20 10:37
48.49062072,2018/8/20 10:38
48.49029546,2018/8/20 10:39
48.48999961,2018/8/20 10:40
48.48980661,2018/8/20 10:41
48.48988252,2018/8/20 10:42
48.48953491,2018/8/20 10:43
48.48947735,2018/8/20 10:44
48.49101232,2018/8/20 10:45
48.49097971,2018/8/20 10:46
48.48983132,2018/8/20 10:47
48.48860702,2018/8/20 10:48
48.48987282,2018/8/20 10:49
48.48868176,2018/8/20 10:50
48.48937204,2018/8/20 10:51
48.48947939,2018/8/20 10:52
48.49131363,2018/8/20 10:53
48.49121336,2018/8/20 10:54
48.49104306,2018/8/20 10:55
48.49067861,2018/8/20 10:56
48.49075092,2018/8/20 10:57
48.49169772,2018/8/20 10:59
48.49159641,2018/8/20 11:00
48.49248009,2018/8/20 11:01
48.49218708,2018/8/20 11:02
48.49142273,2018/8/20 11:03
48.4918796,2018/8/20 11:04
48.49212562,2018/8/20 11:05
48.49083918,2018/8/20 11:06
48.49041165,2018/8/20 11:08
48.4899556,2018/8/20 11:10
48.49096312,2018/8/20 11:11
48.49009486,2018/8/20 11:12
48.48957444,2018/8/20 11:13
48.48906954,2018/8/20 11:15
48.48888959,2018/8/20 11:16
48.4879703,2018/8/20 11:18
48.48733542,2018/8/20 11:20
48.48692103,2018/8/20 11:21
48.48619634,2018/8/20 11:22
48.48629019,2018/8/20 11:24
48.48456416,2018/8/20 11:27
48.48472487,2018/8/20 11:28
48.4852329,2018/8/20 11:29
48.48427213,2018/8/20 13:30
48.48440879,2018/8/20 13:31
48.48438612,2018/8/20 13:32
48.48483468,2018/8/20 13:33
48.48650729,2018/8/20 13:34
48.48472336,2018/8/20 13:35
48.48658253,2018/8/20 13:36
48.48571425,2018/8/20 13:37
48.48629039,2018/8/20 13:38
48.48654898,2018/8/20 13:39
48.48680922,2018/8/20 13:40
48.4872255,2018/8/20 13:41
48.48666786,2018/8/20 13:42
48.48704299,2018/8/20 13:43
48.48686726,2018/8/20 13:44
48.48595189,2018/8/20 13:45
48.48646373,2018/8/20 13:46
48.48617595,2018/8/20 13:47
48.48624395,2018/8/20 13:48
48.48590039,2018/8/20 13:49
48.48609901,2018/8/20 13:50
48.48570388,2018/8/20 13:51
48.48491449,2018/8/20 13:52
48.48398106,2018/8/20 13:54
48.48380088,2018/8/20 13:55
48.48335913,2018/8/20 13:56
48.48466643,2018/8/20 13:57
48.48296609,2018/8/20 13:58
48.48209515,2018/8/20 13:59
48.48130736,2018/8/20 14:00
48.48055189,2018/8/20 14:02
48.4830694,2018/8/20 14:03
48.48305483,2018/8/20 14:04
48.48377152,2018/8/20 14:05
48.48289792,2018/8/20 14:06
48.48229427,2018/8/20 14:07
48.48173387,2018/8/20 14:08
48.48122546,2018/8/20 14:10
48.48157939,2018/8/20 14:11
48.48159762,2018/8/20 14:12
48.48088553,2018/8/20 14:13
48.48013686,2018/8/20 14:14
48.48032235,2018/8/20 14:15
48.48053291,2018/8/20 14:16
48.48111215,2018/8/20 14:17
48.47956727,2018/8/20 14:18
48.47900866,2018/8/20 14:19
48.47947502,2018/8/20 14:20
48.47965001,2018/8/20 14:21
48.47920606,2018/8/20 14:22
48.47836093,2018/8/20 14:23
48.47695377,2018/8/20 14:24
48.47649349,2018/8/20 14:25
48.47724316,2018/8/20 14:27
48.478184,2018/8/20 14:29
48.47878391,2018/8/20 14:31
48.47829414,2018/8/20 14:32
48.47857745,2018/8/20 14:33
48.47856502,2018/8/20 14:34
48.47862102,2018/8/20 14:35
48.47863945,2018/8/20 14:36
48.47892314,2018/8/20 14:37
48.47832224,2018/8/20 14:38
48.47694907,2018/8/20 14:40
48.47723993,2018/8/20 14:41
48.47568982,2018/8/20 14:42
48.47650156,2018/8/20 14:43
48.47635758,2018/8/20 14:44
48.47318337,2018/8/20 14:45
48.47227159,2018/8/20 14:46
48.47428509,2018/8/20 14:47
48.47573336,2018/8/20 14:48
48.47723221,2018/8/20 14:49
48.47720412,2018/8/20 14:50
48.47597411,2018/8/20 14:51
48.58354836,2018/8/20 14:52
48.54782449,2018/8/20 14:53
48.54064887,2018/8/20 14:54
48.5361232,2018/8/20 14:55
48.53539907,2018/8/20 14:56
48.5366339,2018/8/20 14:57
48.53749903,2018/8/20 14:58
48.53974086,2018/8/20 14:59
48.54683654,2018/8/20 15:00
48.54156592,2018/8/20 15:01
48.53970212,2018/8/20 15:02
48.54345429,2018/8/20 15:03
48.54159257,2018/8/20 15:04
48.53945407,2018/8/20 15:05
48.53931848,2018/8/20 15:06
48.54030328,2018/8/20 15:07
48.54053671,2018/8/20 15:08
48.54053349,2018/8/20 15:09
48.53920122,2018/8/20 15:10
48.54146229,2018/8/20 15:12
48.53884486,2018/8/20 15:13
48.53584745,2018/8/20 15:14
48.54187034,2018/8/20 15:15
48.54802599,2018/8/20 15:16
48.53337561,2018/8/20 15:17
48.52897181,2018/8/20 15:18
48.52901618,2018/8/20 15:19
48.52531142,2018/8/20 15:20
48.52698921,2018/8/20 15:21
48.52651476,2018/8/20 15:22
48.52608673,2018/8/20 15:23
48.52076083,2018/8/20 15:24
48.5221464,2018/8/20 15:25
48.52012685,2018/8/20 15:26
48.52132467,2018/8/20 15:27
48.52159873,2018/8/20 15:28
48.52243267,2018/8/20 15:29
48.52036592,2018/8/20 20:00
48.52276573,2018/8/20 20:08
48.52588086,2018/8/20 20:10
48.5312254,2018/8/20 20:14
48.5263236,2018/8/20 20:16
48.52382947,2018/8/20 20:17
48.52081223,2018/8/20 20:20
48.51560112,2018/8/20 20:21
48.52279424,2018/8/20 20:25
48.52284762,2018/8/20 20:32
48.52246707,2018/8/20 20:33
48.52194849,2018/8/20 20:43
48.52247342,2018/8/20 20:55
48.52450766,2018/8/20 21:05
48.52455555,2018/8/20 21:15
48.52529215,2018/8/20 21:16
48.5255439,2018/8/20 21:17
48.52530717,2018/8/20 21:18
48.52360014,2018/8/20 21:33
48.52390488,2018/8/20 21:37
48.52089235,2018/8/20 21:42
48.52572887,2018/8/20 21:45
48.52554135,2018/8/20 21:47
48.52671629,2018/8/20 21:53
48.5295018,2018/8/20 22:00
48.53166254,2018/8/20 22:01
48.53020361,2018/8/20 22:05
48.53008499,2018/8/20 22:14
48.53130684,2018/8/20 22:20
48.53006417,2018/8/20 22:26
48.5300946,2018/8/20 22:38
