Dates,open,high,low,close,volume
2018/10/11 9:47,268.8,268.85,268.8,268.85,134
2018/10/11 9:48,268.85,268.85,268.8,268.85,176
2018/10/11 9:49,268.85,268.85,268.8,268.85,112
2018/10/11 9:50,268.85,268.85,268.8,268.85,138
2018/10/11 9:51,268.8,268.9,268.8,268.85,738
2018/10/11 9:52,268.85,268.9,268.85,268.9,696
2018/10/11 9:53,268.9,269,268.9,268.95,934
2018/10/11 9:54,268.95,269,268.9,268.9,628
2018/10/11 9:55,268.95,269,268.9,269,274
2018/10/11 9:56,268.95,269.05,268.95,269,780
2018/10/11 9:57,269,269,268.95,269,524
2018/10/11 9:58,269,269,268.9,268.95,352
2018/10/11 9:59,268.95,269,268.9,268.95,348
2018/10/11 10:00,269,269,268.95,269,312
2018/10/11 10:01,269,269.05,268.95,269.05,404
2018/10/11 10:02,269.05,269.05,268.95,269,246
2018/10/11 10:03,268.95,269,268.95,268.95,320
2018/10/11 10:04,269,269,268.95,269,426
2018/10/11 10:05,268.95,269.05,268.95,269,144
2018/10/11 10:06,269.05,269.05,269,269,246
2018/10/11 10:07,269.05,269.1,269.05,269.05,968
2018/10/11 10:08,269.1,269.15,269.05,269.1,1090
2018/10/11 10:09,269.1,269.1,269.05,269.1,504
2018/10/11 10:10,269.1,269.1,269.05,269.05,74
2018/10/11 10:11,269.05,269.1,269.05,269.1,564
2018/10/11 10:12,269.1,269.15,269.05,269.05,404
2018/10/11 10:13,269.05,269.1,269.05,269.05,32
2018/10/11 10:14,269.1,269.1,269.05,269.1,354
2018/10/11 10:30,269.1,269.1,269.05,269.1,336
2018/10/11 10:31,269.1,269.1,269.05,269.1,96
2018/10/11 10:32,269.1,269.1,269.05,269.1,98
2018/10/11 10:33,269.05,269.1,269.05,269.1,100
2018/10/11 10:34,269.05,269.15,269.05,269.1,852
2018/10/11 10:35,269.15,269.15,269.05,269.05,408
2018/10/11 10:36,269.05,269.1,269,269.05,452
2018/10/11 10:37,269.05,269.1,269.05,269.1,450
2018/10/11 10:38,269.1,269.1,269.05,269.1,74
2018/10/11 10:39,269.1,269.1,269.05,269.1,42
2018/10/11 10:40,269.05,269.1,269.05,269.1,98
2018/10/11 10:41,269.1,269.15,269.05,269.1,446
2018/10/11 10:42,269.05,269.1,269.05,269.05,210
2018/10/11 10:43,269.1,269.1,269.05,269.05,12
2018/10/11 10:44,269.1,269.1,269.05,269.05,698
2018/10/11 10:45,269.1,269.1,269.05,269.05,40
2018/10/11 10:46,269.05,269.05,269,269,278
2018/10/11 10:47,269,269.1,269,269.05,916
2018/10/11 10:48,269,269.05,269,269.05,36
2018/10/11 10:49,269,269.05,269,269.05,52
2018/10/11 10:50,269.05,269.05,269.05,269.05,232
2018/10/11 10:51,269,269.1,269,269.05,90
2018/10/11 10:52,269.05,269.1,269.05,269.05,108
2018/10/11 10:53,269.1,269.1,269.05,269.1,36
2018/10/11 10:54,269.05,269.1,269.05,269.1,90
2018/10/11 10:55,269.1,269.1,269.05,269.1,18
